parts and infs	6167965	κτησάμενοι	κτάομαι	to procure for oneself	-papm	330
parts and infs	6167992	χρηματισάμενοι	χρηματίζω	to negotiate	-papm	330
parts and infs	6168012	συγγενέσθαι	συγγίγνομαι	to be with	--anm	330
parts and infs	6168016	ἐθέλοντες	ἐθέλω	pharr3	-pppa	330
parts and infs	6168017	ἐπαινεῖν	ἐπαινέω	to approve	--pna	330
parts and infs	6168047	ἀπολελαυκέναι	ἀπολαύω	to have enjoyment of	--rna	330
parts and infs	6168051	κεκτῆσθαι	κτάομαι	to procure for oneself	--rne	330
parts and infs	6168064	λέγων	λέγω	to pick; to say	-sppa	330
parts and infs	6168082	οἴεσθαι	οἴομαι	to suppose	--pne	330
parts and infs	6168083	τελευτήσειν	τελευτάω	to complete	--fna	330
parts and infs	6168099	λεγόμενοι	λέγω	to pick; to say	-pppe	330
parts and infs	6168109	ἀδικήσαντα	ἀδικέω	pharr23	-sapa	330
parts and infs	6168112	διδόναι	δίδωμι	to give	--pna	330
parts and infs	6168115	καταγελώμενοι	καταγελάω	to laugh at	-pppe	330
parts and infs	6168142	ὢν	εἰμί	pharr17	-sppa	330
parts and infs	6168170	εὑρίσκων	εὑρίσκω	to find	-sppa	331
parts and infs	6168187	ἐγειρόμενος	ἐγείρω	to awaken	-sppe	331
parts and infs	6168200	συνειδότι	σύνοιδα	to share in knowledge	-srpa	331
parts and infs	6168267	εἶναι	εἰμί	pharr17	--pna	331
parts and infs	6168284	ἐξαπατῆσαι	ἐξαπατάω	to deceive	--ana	331
parts and infs	6168286	ψεύσασθαι	ψεύδω	to cheat by lies	--anm	331
parts and infs	6168290	ὀφείλοντα	ὀφείλω	to owe	-sppa	331
parts and infs	6168300	ἀπιέναι	ἀπέρχομαι	to go away	--pna	331
parts and infs	6168301	δεδιότα	δείδω	to fear	-prpa	331
parts and infs	6168334	ἔχοντι	ἔχω	pharr10	-sppa	331
parts and infs	6168341	εἶναι	εἰμί	pharr17	--pna	331
parts and infs	6168366	εἶναι	εἰμί	pharr17	--pna	331
parts and infs	6168371	ἀποδιδόναι	ἀποδίδωμι	to give back	--pna	331
parts and infs	6168391	ποιεῖν	ποιέω	pharr23	--pna	331
parts and infs	6168408	σωφρονοῦντος	σωφρονέω	to be sound of mind	-sppa	331
parts and infs	6168412	μανεὶς	μαίνομαι	to rage	-sapp	331
parts and infs	6168420	ἀποδιδόναι	ἀποδίδωμι	to give back	--pna	331
parts and infs	6168427	ἀποδιδούς	ἀποδίδωμι	to give back	-sppa	331
parts and infs	6168434	ἔχοντα	ἔχω	pharr10	-sppa	331
parts and infs	6168436	ἐθέλων	ἐθέλω	pharr3	-sppa	331
parts and infs	6168439	λέγειν	λέγω	to pick; to say	--pna	331
parts and infs	6168456	λέγειν	λέγω	to pick; to say	--pna	331
parts and infs	6168462	ἀποδιδόναι	ἀποδίδωμι	to give back	--pna	331
parts and infs	6168473	ὑπολαβὼν	ὑπολαμβάνω	take up; understand	-sapa	331
parts and infs	6168482	πείθεσθαι	πείθω	pharr9	--pne	331
parts and infs	6168503	ἐπιμεληθῆναι	ἐπιμελέομαι	pharr25	--anm	331
parts and infs	6168525	γελάσας	γελάω	to laugh	-sapa	331
parts and infs	6168550	λέγοντα	λέγω	to pick; to say	-sppa	331
parts and infs	6168552	λέγειν	λέγω	to pick; to say	--pna	331
parts and infs	6168564	ὀφειλόμενα	ὀφείλω	to owe	-pppe	331
parts and infs	6168566	ἀποδιδόναι	ἀποδίδωμι	to give back	--pna	331
parts and infs	6168571	λέγων	λέγω	to pick; to say	-sppa	331
parts and infs	6168575	λέγειν	λέγω	to pick; to say	--pna	331
parts and infs	6168588	ἀπιστεῖν	ἀπιστέω	to disbelieve	--pna	332
parts and infs	6168628	παρακαταθεμένου	παρακατατίθεμαι	nodef	-sapm	332
parts and infs	6168633	ἀπαιτοῦντι	ἀπαιτέω	to demand back	-sppa	332
parts and infs	6168634	ἀποδιδόναι	ἀποδίδωμι	to give back	--pna	332
parts and infs	6168638	ὀφειλόμενόν	ὀφείλω	to owe	-sppe	332
parts and infs	6168682	ὀφειλόμενα	ὀφείλω	to owe	-pppe	332
parts and infs	6168684	εἶναι	εἰμί	pharr17	--pna	332
parts and infs	6168685	ἀποδιδόναι	ἀποδίδωμι	to give back	--pna	332
parts and infs	6168698	ὀφείλειν	ὀφείλω	to owe	--pna	332
parts and infs	6168704	δρᾶν	δράω	to do	--pna	332
parts and infs	6168719	ὀφειλόμενα	ὀφείλω	to owe	-pppe	332
parts and infs	6168726	παρακαταθεμένῳ	παρακατατίθεμαι	nodef	-sapm	332
parts and infs	6168742	ἀπολαμβάνων	ἀπολαμβάνω	to take away	-sppa	332
parts and infs	6168745	ἀποδιδούς	ἀποδίδωμι	to give back	-sppa	332
parts and infs	6168749	λέγειν	λέγω	to pick; to say	--pna	332
parts and infs	6168767	ὀφειλόμενον	ὀφείλω	to owe	-sppe	332
parts and infs	6168828	προσῆκον	προσήκω	to have come; to belong to	-sppa	332
parts and infs	6168830	ἀποδιδόναι	ἀποδίδωμι	to give back	--pna	332
parts and infs	6168835	ὀφειλόμενον	ὀφείλω	to owe	-sppe	332
parts and infs	6168864	ἀποδιδοῦσα	ἀποδίδωμι	to give back	-sppa	332
parts and infs	6168865	ὀφειλόμενον	ὀφείλω	to owe	-sppe	332
parts and infs	6168867	προσῆκον	προσήκω	to have come; to belong to	-sppa	332
parts and infs	6168877	ἀποκρίνασθαι	ἀποκρίνω	to separate	--anm	332
parts and infs	6168897	ἀποδιδοῦσα	ἀποδίδωμι	to give back	-sppa	332
parts and infs	6168898	ὀφειλόμενον	ὀφείλω	to owe	-sppe	332
parts and infs	6168900	προσῆκον	προσήκω	to have come; to belong to	-sppa	332
parts and infs	6168918	ἀποδιδοῦσα	ἀποδίδωμι	to give back	-sppa	332
parts and infs	6168931	ἀκολουθεῖν	ἀκολουθέω	to follow	--pna	332
parts and infs	6168938	εἰρημένοις	λέγω	to pick; to say	-prpe	332
parts and infs	6168950	ἀποδιδοῦσα	ἀποδίδωμι	to give back	-sppa	332
parts and infs	6168957	ποιεῖν	ποιέω	pharr23	--pna	332
parts and infs	6168971	κάμνοντας	κάμνω	to work	-pppa	332
parts and infs	6168974	ποιεῖν	ποιέω	pharr23	--pna	332
parts and infs	6168987	πλέοντας	πλέω	to sail	-pppa	332
parts and infs	6169010	ὠφελεῖν	ὠφελέω	pharr31	--pna	332
parts and infs	6169013	βλάπτειν	βλάπτω	to disable	--pna	332
parts and infs	6169017	προσπολεμεῖν	προσπολεμέω	to carry on war against	--pna	332
parts and infs	6169021	συμμαχεῖν	συμμαχέω	to be an ally	--pna	332
parts and infs	6169054	πολεμοῦσιν	πολεμόω	to make hostile	-pppa	332
parts and infs	6169124	εἶναι	εἰμί	pharr17	--pna	333
parts and infs	6169219	χρῆσθαι	χράω	to fall upon	--pne	333
parts and infs	6169226	πρίασθαι	πρίαμαι	nodef	--pne	333
parts and infs	6169228	ἀποδόσθαι	ἀποδίδωμι	to give back	--anm	333
parts and infs	6169268	χρῆσθαι	χράω	to fall upon	--pne	333
parts and infs	6169277	παρακαταθέσθαι	παρακατατίθεμαι	nodef	--anm	333
parts and infs	6169280	εἶναι	εἰμί	pharr17	--pna	333
parts and infs	6169291	χρῆσθαι	χράω	to fall upon	--pne	333
parts and infs	6169293	κεῖσθαι	κεῖμαι	to lie; to have been set/put (as perf. pass. of τίθημι)	--pne	333
parts and infs	6169318	φυλάττειν	φυλάσσω	pharr6	--pna	333
parts and infs	6169330	χρῆσθαι	χράω	to fall upon	--pne	333
parts and infs	6169345	φυλάττειν	φυλάσσω	pharr6	--pna	333
parts and infs	6169348	χρῆσθαι	χράω	to fall upon	--pne	333
parts and infs	6169351	εἶναι	εἰμί	pharr17	--pna	333
parts and infs	6169357	χρῆσθαι	χράω	to fall upon	--pne	333
parts and infs	6169408	ὂν	εἰμί	pharr17	-sppa	333
parts and infs	6169418	πατάξαι	πατάσσω	to beat	--ana	333
parts and infs	6169431	φυλάξασθαι	φυλάσσω	pharr6	--anm	333
parts and infs	6169442	φυλάξασθαι	φυλάσσω	pharr6	--anm	333
parts and infs	6169445	λαθεῖν	λανθάνω	to escape notice	--ana	333
parts and infs	6169448	ἐμποιήσας	ἐμποιέω	to make in	-sapa	333
parts and infs	6169467	κλέψαι	κλέπτω	to steal	--ana	334
parts and infs	6169497	φυλάττειν	φυλάσσω	pharr6	--pna	334
parts and infs	6169500	κλέπτειν	κλέπτω	to steal	--pna	334
parts and infs	6169527	μεμαθηκέναι	μανθάνω	to learn	--rna	334
parts and infs	6169547	κεκάσθαι	κάζω	nodef	--rne	334
parts and infs	6169568	εἶναι	εἰμί	pharr17	--pna	334
parts and infs	6169605	ὠφελεῖν	ὠφελέω	pharr31	--pna	334
parts and infs	6169612	βλάπτειν	βλάπτω	to disable	--pna	334
parts and infs	6169620	εἶναι	εἰμί	pharr17	--pna	334
parts and infs	6169623	δοκοῦντας	δοκέω	pharr23	-pppa	334
parts and infs	6169626	εἶναι	εἰμί	pharr17	--pna	334
parts and infs	6169630	ὄντας	εἰμί	pharr17	-pppa	334
parts and infs	6169640	εἰκὸς	ἔοικα	to be like; to look like	-srpa	334
parts and infs	6169650	φιλεῖν	φιλέω	pharr23	--pna	334
parts and infs	6169656	μισεῖν	μισέω	to hate	--pna	334
parts and infs	6169668	δοκεῖν	δοκέω	pharr23	--pna	334
parts and infs	6169673	εἶναι	εἰμί	pharr17	--pna	334
parts and infs	6169675	ὄντας	εἰμί	pharr17	-pppa	334
parts and infs	6169707	ὠφελεῖν	ὠφελέω	pharr31	--pna	334
parts and infs	6169712	βλάπτειν	βλάπτω	to disable	--pna	334
parts and infs	6169726	ἀδικεῖν	ἀδικέω	pharr23	--pna	334
parts and infs	6169737	ἀδικοῦντας	ἀδικέω	pharr23	-pppa	334
parts and infs	6169740	ποιεῖν	ποιέω	pharr23	--pna	334
parts and infs	6169752	εἶναι	εἰμί	pharr17	--pna	334
parts and infs	6169765	βλάπτειν	βλάπτω	to disable	--pna	334
parts and infs	6169770	ὠφελεῖν	ὠφελέω	pharr31	--pna	334
parts and infs	6169791	εἶναι	εἰμί	pharr17	--pna	334
parts and infs	6169795	βλάπτειν	βλάπτω	to disable	--pna	334
parts and infs	6169805	ὠφελεῖν	ὠφελέω	pharr31	--pna	334
parts and infs	6169820	λέγειν	λέγω	to pick; to say	--pna	334
parts and infs	6169841	θέσθαι	τίθημι	to set	--anm	334
parts and infs	6169844	θέμενοι	τίθημι	to set	-papm	334
parts and infs	6169850	δοκοῦντα	δοκέω	pharr23	-sppa	334
parts and infs	6169855	εἶναι	εἰμί	pharr17	--pna	334
parts and infs	6169868	δοκοῦντά	δοκέω	pharr23	-sppa	335
parts and infs	6169877	ὄντα	εἰμί	pharr17	-sppa	335
parts and infs	6169883	δοκοῦντα	δοκέω	pharr23	-sppa	335
