aor iia	8999527	ἦλθον	ἔρχομαι	pharr24	3paia	1.4.3
aor iia	8999683	ἐποίησεν	ποιέω	pharr23	3saia	1.4.5
aor iia	8999687	ἤκουσε	ἀκούω	to hear	3saia	1.4.5
aor iia	8999698	ἀπήλαυνεν	ἀπελαύνω	to drive away	3saia	1.4.5
aor iia	8999740	ἔμεινεν	μένω	pharr16	3saia	1.4.6
aor iia	8999761	ἀπέπλευσαν	ἀποπλέω	to sail away	3paia	1.4.7
aor iia	8999798	διῆλθε	διέρχομαι	to go through	3saia	1.4.7
aor iia	8999827	εἶπεν	λέγω	to pick; to say	3saia	1.4.8
aor iia	8999941	εἶπεν	λέγω	to pick; to say	3saia	1.4.9
aor iia	9000059	ἐξέκοψε	ἐκκόπτω	to cut out	3saia	1.4.10
aor iia	9000063	κατέκαυσεν	κατακαίω	to burn down	3saia	1.4.10
aor iia	9000093	ἔμεινεν	μένω	pharr16	3saia	1.4.11
aor iia	9000245	συνέλεξε	συλλέγω	to collect	3saia	1.4.13
aor iia	9000253	ἔλεξε	λέγω	to pick; to say	3saia	1.4.13
aor iia	9000382	διέβησαν	διαβαίνω	pharr14	3paia	1.4.16
aor iia	9000401	εἶπεν	λέγω	to pick; to say	3saia	1.4.16
aor iia	9000499	κατέκαυσεν	κατακαίω	to burn down	3saia	1.4.18
aor iia	9000546	ἔμειναν	μένω	pharr16	3paia	1.4.19
aor iia	9000701	ἔλαβεν	λαμβάνω	pharr21	3saia	1.5.3
aor iia	9000793	ἔμειναν	μένω	pharr16	3paia	1.5.5
aor iia	9000871	ἐπέλιπε	ἐπιλείπω	to leave behind; to run out	3saia	1.5.6
aor iia	9000929	ἤλαυνεν	ἐλαύνω	pharr19	3saia	1.5.7
aor iia	9000951	ἐπέστη	ἐφίστημι	to set on	3saia	1.5.7
aor iia	9000962	ἔταξε	τάσσω	pharr33	3saia	1.5.7
aor iia	9000983	ἐκέλευσε	κελεύω	pharr13	3saia	1.5.8
aor iia	9001009	ἔτυχεν	τυγχάνω	(with gen.) to hit the mark	3saia	1.5.8
aor iia	9001065	ἐξεκόμισαν	ἐκκομίζω	to carry out	3paia	1.5.8
aor iia	9001256	ἐνέβαλεν	ἐμβάλλω	to throw in	3saia	1.5.11
aor iia	9001326	εἶδε	ὁράω	to see	3saia	1.5.12
aor iia	9001338	ἥμαρτεν	ἁμαρτάνω	to miss	3saia	1.5.12
aor iia	9001372	ἐκέλευσε	κελεύω	pharr13	3saia	1.5.13
aor iia	9001405	ἤλαυνεν	ἐλαύνω	pharr19	3saia	1.5.13
aor iia	9001435	ἔτυχε	τυγχάνω	(with gen.) to hit the mark	3saia	1.5.14
aor iia	9001478	ἐκέλευσέ	κελεύω	pharr13	3saia	1.5.14
