perf r	6166792	ὡρμημένους	ὁρμάω	to set in motion	-prpe	327
perf r	6166887	ὡρμῆσθαι	ὁρμάω	to set in motion	--rne	327
perf r	6167145	ἐστεφανωμένος	στεφανόω	to wreathe	-srpe	328
perf r	6167445	ἀπεστερημένοι	ἀποστερέω	to rob	-prpe	329
perf r	6167632	ἀπηλλάχθαι	ἀπαλλάσσω	to set free	--rne	329
perf r	6167739	κεκτῆσθαι	κτάομαι	to procure for oneself	--rne	329
perf r	6167858	κέκτησαι	κτάομαι	to procure for oneself	2srie	330
perf r	6167898	κέκτημαι	κτάομαι	to procure for oneself	1srie	330
perf r	6168051	κεκτῆσθαι	κτάομαι	to procure for oneself	--rne	330
