1.1.2	5	8996076	.	.	nodef	8996054
1.1.3	6	8996077	ἐπεὶ	ἐπεί	pharr25	8996089
1.1.3	6	8996078	δὲ	δέ	pharr4	8996089
1.1.3	6	8996079	ἐτελεύτησε	τελευτάω	to complete	8996077
1.1.3	6	8996080	Δαρεῖος	Δαρεῖος	Darius	8996079
1.1.3	6	8996081	καὶ	καί	pharr3	8996082
1.1.3	6	8996082	κατέστη	καθίστημι	to set down	8996079
1.1.3	6	8996083	εἰς	εἰς	pharr4	8996082
1.1.3	6	8996084	τὴν	ὁ	pharr1	8996085
1.1.3	6	8996085	βασιλείαν	βασιλεία	pharr15	8996083
1.1.3	6	8996086	Ἀρταξέρξης	Ἀρταξέρξης	Artaxerxes	8996082
1.1.3	6	8996087	,	,	nodef	8996077
1.1.3	6	8996088	Τισσαφέρνης	Τισσαφέρνης	Tissaphernes	8996089
1.1.3	6	8996089	διαβάλλει	διαβάλλω	to throw over	0
1.1.3	6	8996090	τὸν	ὁ	pharr1	8996091
1.1.3	6	8996091	Κῦρον	Κῦρος	Cyrus	8996089
1.1.3	6	8996092	πρὸς	πρός	pharr18	8996089
1.1.3	6	8996093	τὸν	ὁ	pharr1	8996094
1.1.3	6	8996094	ἀδελφὸν	ἀδελφός	pharr1	8996092
1.1.3	6	8996095	ὡς	ὡς	pharr21	8996089
1.1.3	6	8996096	ἐπιβουλεύοι	ἐπιβουλεύω	pharr13	8996095
1.1.3	6	8996097	αὐτῷ	αὐτός	pharr13	8996096
1.1.3	6	8996098	.	.	nodef	8996077
1.1.3	7	8996099	ὁ	ὁ	pharr1	8996101
1.1.3	7	8996100	δὲ	δέ	pharr4	8996101
1.1.3	7	8996101	πείθεται	πείθω	pharr9	0
1.1.3	7	8996102	καὶ	καί	pharr3	8996103
1.1.3	7	8996103	συλλαμβάνει	συλλαμβάνω	to collect	8996101
1.1.3	7	8996104	Κῦρον	Κῦρος	Cyrus	8996103
1.1.3	7	8996105	ὡς	ὡς	pharr21	8996106
1.1.3	7	8996106	ἀποκτενῶν	ἀποκτείνω	to kill	8996103
1.1.3	7	8996107	·	·	nodef	8996099
1.1.3	8	8996108	ἡ	ὁ	pharr1	8996110
1.1.3	8	8996109	δὲ	δέ	pharr4	8996113
1.1.3	8	8996110	μήτηρ	μήτηρ	a mother	8996113
1.1.3	8	8996111	ἐξαιτησαμένη	ἐξαιτέω	to demand	8996113
1.1.3	8	8996112	αὐτὸν	αὐτός	pharr13	8996111
1.1.3	8	8996113	ἀποπέμπει	ἀποπέμπω	to send off	0
1.1.3	8	8996114	πάλιν	πάλιν	pharr33	8996113
1.1.3	8	8996115	ἐπὶ	ἐπί	pharr12	8996113
1.1.3	8	8996116	τὴν	ὁ	pharr1	8996117
1.1.3	8	8996117	ἀρχήν	ἀρχή	pharr7	8996115
1.1.3	8	8996118	.	.	nodef	8996108
1.1.4	9	8996119	ὁ	ὁ	pharr1	8996127
1.1.4	9	8996120	δ’	δέ	pharr4	8996127
1.1.4	9	8996121	ὡς	ὡς	pharr21	8996127
1.1.4	9	8996122	ἀπῆλθε	ἀπέρχομαι	to go away	8996121
1.1.4	9	8996123	κινδυνεύσας	κινδυνεύω	to be daring	8996122
1.1.4	9	8996124	καὶ	καί	pharr3	8996125
1.1.4	9	8996125	ἀτιμασθείς	ἀτιμάζω	to hold in no honour	8996123
1.1.4	9	8996126	,	,	nodef	8996119
1.1.4	9	8996127	βουλεύεται	βουλεύω	pharr13	0
1.1.4	9	8996128	ὅπως	ὅπως	pharr29	8996127
1.1.4	9	8996129	μήποτε	μήποτε	never	8996131
1.1.4	9	8996130	ἔτι	ἔτι	pharr28	8996131
1.1.4	9	8996131	ἔσται	εἰμί	pharr17	8996128
1.1.4	9	8996132	ἐπὶ	ἐπί	pharr12	8996131
1.1.4	9	8996133	τῷ	ὁ	pharr1	8996134
1.1.4	9	8996134	ἀδελφῷ	ἀδελφός	pharr1	8996132
1.1.4	9	8996135	,	,	nodef	8996119
1.1.4	9	8996136	ἀλλά	ἀλλά	pharr8	8996141
1.1.4	9	8996137	,	,	nodef	8996119
1.1.4	9	8996138	ἢν	ἐάν	pharr31	8996141
1.1.4	9	8996139	δύνηται	δύναμαι	to be able	8996138
1.1.4	9	8996140	,	,	nodef	8996119
1.1.4	9	8996141	βασιλεύσει	βασιλεύω	to be king	8996131
1.1.4	9	8996142	ἀντ’	ἀντί	over against	8996141
1.1.4	9	8996143	ἐκείνου	ἐκεῖνος	pharr14	8996142
1.1.4	9	8996144	.	.	nodef	8996119
1.1.4	10	8996145	Παρύσατις	Παρύσατις	Parysatis	8996150
1.1.4	10	8996146	μὲν	μέν	pharr8	8996150
1.1.4	10	8996147	δὴ	δή	pharr23	8996150
1.1.4	10	8996148	ἡ	ὁ	pharr1	8996149
1.1.4	10	8996149	μήτηρ	μήτηρ	a mother	8996145
1.1.4	10	8996150	ὑπῆρχε	ὑπάρχω	to begin; to exist	0
1.1.4	10	8996151	τῷ	ὁ	pharr1	8996152
1.1.4	10	8996152	Κύρῳ	Κῦρος	Cyrus	8996150
1.1.4	10	8996153	,	,	nodef	8996145
1.1.4	10	8996154	φιλοῦσα	φιλέω	pharr23	8996150
1.1.4	10	8996155	αὐτὸν	αὐτός	pharr13	8996154
1.1.4	10	8996156	μᾶλλον	μάλα	pharr31	8996154
1.1.4	10	8996157	ἢ	ἤ	pharr33	8996156
1.1.4	10	8996158	τὸν	ὁ	pharr1	8996160
1.1.4	10	8996159	βασιλεύοντα	βασιλεύω	to be king	8996160
1.1.4	10	8996160	Ἀρταξέρξην	Ἀρταξέρξης	Artaxerxes	8996157
1.1.4	10	8996161	.	.	nodef	8996145
1.1.5	11	8996162	ὅστις	ὅστις	pharr29	8996164
1.1.5	11	8996163	δ’	δέ	pharr4	8996173
1.1.5	11	8996164	ἀφικνεῖτο	ἀφικνέομαι	pharr25	8996173
1.1.5	11	8996165	τῶν	ὁ	pharr1	8996170
1.1.5	11	8996166	παρὰ	παρά	pharr4	8996170
1.1.5	11	8996167	βασιλέως	βασιλεύς	a king	8996166
1.1.5	11	8996168	πρὸς	πρός	pharr18	8996164
1.1.5	11	8996169	αὐτὸν	αὐτός	pharr13	8996168
1.1.5	11	8996170	πάντας	πᾶς	pharr22	8996172
1.1.5	11	8996171	οὕτω	οὕτως	pharr22	8996172
1.1.5	11	8996172	διατιθεὶς	διατίθημι	to place separately	8996173
1.1.5	11	8996173	ἀπεπέμπετο	ἀποπέμπω	to send off	0
1.1.5	11	8996174	ὥστε	ὥστε	pharr19	8996171
1.1.5	11	8996175	αὐτῷ	αὐτός	pharr13	8996177
1.1.5	11	8996176	μᾶλλον	μάλα	pharr31	8996178
1.1.5	11	8996177	φίλους	φίλος	pharr2	8996178
1.1.5	11	8996178	εἶναι	εἰμί	pharr17	8996174
1.1.5	11	8996179	ἢ	ἤ	pharr33	8996176
1.1.5	11	8996180	βασιλεῖ	βασιλεύς	a king	8996179
1.1.5	11	8996181	.	.	nodef	8996162
1.1.5	12	8996182	καὶ	καί	pharr3	8996188
1.1.5	12	8996183	τῶν	ὁ	pharr1	8996187
1.1.5	12	8996184	παρ’	παρά	pharr4	8996187
1.1.5	12	8996185	ἑαυτῷ	ἑαυτοῦ	pharr16	8996184
1.1.5	12	8996186	δὲ	δέ	pharr4	8996188
1.1.5	12	8996187	βαρβάρων	βάρβαρος	pharr8	8996188
1.1.5	12	8996188	ἐπεμελεῖτο	ἐπιμελέομαι	pharr25	0
1.1.5	12	8996189	ὡς	ὡς	pharr21	8996188
1.1.5	12	8996190	πολεμεῖν	πολεμέω	pharr23	8996192
1.1.5	12	8996191	τε	τε	pharr30	8996193
1.1.5	12	8996192	ἱκανοὶ	ἱκανός	pharr26	8996193
1.1.5	12	8996193	εἴησαν	εἰμί	pharr17	8996189
1.1.5	12	8996194	καὶ	καί	pharr3	8996196
1.1.5	12	8996195	εὐνοϊκῶς	εὐνοικός	nodef	8996196
1.1.5	12	8996196	ἔχοιεν	ἔχω	pharr10	8996193
1.1.5	12	8996197	αὐτῷ	αὐτός	pharr13	8996195
1.1.5	12	8996198	.	.	nodef	8996182
1.1.6	13	8996199	τὴν	ὁ	pharr1	8996202
1.1.6	13	8996200	δὲ	δέ	pharr4	8996203
1.1.6	13	8996201	Ἑλληνικὴν	Ἑλληνικός	Hellenic	8996202
1.1.6	13	8996202	δύναμιν	δύναμις	power	8996203
1.1.6	13	8996203	ἥθροιζεν	ἀθροίζω	pharr8	0
1.1.6	13	8996204	ὡς	ὡς	pharr21	8996203
1.1.6	13	8996205	μάλιστα	μάλα	pharr31	8996204
1.1.6	13	8996206	ἐδύνατο	δύναμαι	to be able	8996204
1.1.6	13	8996207	ἐπικρυπτόμενος	ἐπικρύπτω	to throw a cloak over	8996206
1.1.6	13	8996208	,	,	nodef	8996199
1.1.6	13	8996209	ὅπως	ὅπως	pharr29	8996203
1.1.6	13	8996210	ὅτι	ὅτι	adv. + superl.	8996209
1.1.6	13	8996211	ἀπαρασκευότατον	ἀπαράσκευος	without preparation	8996213
1.1.6	13	8996212	λάβοι	λαμβάνω	pharr21	8996210
1.1.6	13	8996213	βασιλέα	βασιλεύς	a king	8996212
1.1.6	13	8996214	.	.	nodef	8996199
1.1.6	14	8996215	ὧδε	ὧδε	pharr23	8996217
1.1.6	14	8996216	οὖν	οὖν	pharr15	8996217
1.1.6	14	8996217	ἐποιεῖτο	ποιέω	pharr23	0
1.1.6	14	8996218	τὴν	ὁ	pharr1	8996219
1.1.6	14	8996219	συλλογήν	συλλογή	a gathering	8996217
1.1.6	14	8996220	.	.	nodef	8996215
1.1.6	15	8996221	ὁπόσας	ὁπόσος	pharr29	8996223
1.1.6	15	8996222	εἶχε	ἔχω	pharr10	8996227
1.1.6	15	8996223	φυλακὰς	φυλακή	pharr6	8996222
1.1.6	15	8996224	ἐν	ἐν	pharr4	8996222
1.1.6	15	8996225	ταῖς	ὁ	pharr1	8996226
1.1.6	15	8996226	πόλεσι	πόλις	a city	8996224
1.1.6	15	8996227	παρήγγειλε	παραγγέλλω	to transmit as a message; give orders	0
1.1.6	15	8996228	τοῖς	ὁ	pharr1	8996229
1.1.6	15	8996229	φρουράρχοις	φρούραρχος	commander of a watch	8996227
1.1.6	15	8996230	ἑκάστοις	ἕκαστος	every	8996229
1.1.6	15	8996231	λαμβάνειν	λαμβάνω	pharr21	8996227
1.1.6	15	8996232	ἄνδρας	ἀνήρ	a man	8996231
1.1.6	15	8996233	Πελοποννησίους	Πελοποννήσιος	Peloponnesian (of people)	8996232
1.1.6	15	8996234	ὅτι	ὅτι	adv. + superl.	8996231
